 civilized#adj. 文明的#5sivilBizd
 situated#adj. 位于#5sitjueitid
 overlook#vt. 俯瞰#EuvE5luk
 likewise#adj. 同样地#5lBikwBiz
 miscellaneous#adj. 各种各样的#misi5leinjEs
 slave#n. 奴隶#sleiv
 will#n. 意志#wil
 vigorous#adj. 精力充沛的#5vigErEs
 cultivate#vt. 养成；培养#5kQltiveit
 verse#n. 诗句；韵文#vE:s
 quote#vt. 援引#kwEut
 constant#adj. 不变的；经常的#5kCnstEnt
 Greek#n. 希腊文#gri:k
 unbounded#adj. 无限的#Qn5bBundid
 exhaustive#adj. 透彻的#ig5zC:stiv
 relation#n. 关系#ri5leiFEn
 poetry#n. 诗#5pEuitri
 prose#n. 散文#prEuz
 opponent#n. 反对者#E5pEunEnt
 compel#vt. 迫使#kEm5pel
 merely#adv. 仅仅#5miEli
 economics#n. 经济学#i:kE5nCmiks
 philosophy#n. 哲学#fi5lCsEfi
 adequate#adj. 充分的#5Adikwit
 sofa#n. 沙发椅#5sEufE
 infrequently#adv. 不经常地；少有#
 constitution#n. 体质#kCnsti5tju:FEn
 mental#adj. 属于思维的#5mentl
 average#adj. 普通的；平均的#5AvEridV
 delightful#adj. 趣味横溢的#di5lBitful
 companion#n. 同伴；朋友#kEm5pAniEn
 wit#n. 机智；妙语#wit
 humour#n. 幽默#5hju:mE
 sally#n. 警句#5sAli
 pointed#adj. 一针见血的#5pCintid
 retort#n. 反驳#ri5tC:t
 fleet#n. 舰队#fli:t
 bucket#n. 水桶#5bQkit
 fantastic#adj. 怪诞的#fAn5tAstik
 at a moment's notice#立即，马上#
 in the course of#在某段过程之内#
 to put up with#容忍；忍受#
 to set...on fire#点火，烧#
 faithful#adj. 忠实的；确切的#5feiWful
 record#n. 记载#5rekC:d7 ri5kR:d
 passer-by#n. 过路人#5pB:sE5bBi
 merge#vi. 混合#mE:dV
 remould#vt. 改造#ri5mEuld
 heroine#n. 女英雄；女主人公#5herEuin
 sentimental#adj. 多愁善感的#senti5mentl
 staunch#adj. 坚强的#stC:ntF
 countless#adj. 无数的#5kBuntlis
 martyr#n. 烈士#5mB:tE
 nightmare#n. 恶梦#5nBitmeE
 spare#vt. 免除；使…不受#speE
 misrule#n. 罪恶统治#5mis5ru:l
 or rather#或者不如说#
 to break through#冲破#
 to call...to arms#号召…拿起武器#
 to break with#与…决裂#
 to be fed up with#感到厌倦#
 thanks to#由于#
 overland#adv. 走陆路#5EuvElAnd
 wreck#vt. (船)遇难#rek
 exotic#adj. 异国情调的#ig5zCutik
 typhoid#n. 伤寒#5tBifCid
 flamingo#n. 火烈鸟#flE5miNgEu
 intoxicating#adj. 令人陶醉的#in5tCksikeitiN
 paradise#n. 天堂#5pArEdBis
 canoe#n. 轻便、无舱的小筏#kE5nu:
 striped#adj. 有条纹的#strBipt
 buckled#adj. 鞋上有银环装饰的#5bQkld
 elegantly#adv. 雅致地，漂亮地#
 louse#n. 虱#lBus
 microscope#n. 显微镜#5mBikrEskEup
 confide#vi. 吐露#kEn5fBid
 stores#n. 食物储藏#
 plague#vt. 受(飞虫)困扰#pleig
 hammock#n. 吊床#5hAmEk
 roam#vi. 漫游#rEum
 filter#vt. 过滤#5filtE
 eel#n. 鳗#i:l
 electrocute#vt. 触电而死#i5lektrEkjut
 electrometer#n. 静电计#ilek5trCmitE
 discharge#n. 放电#dis5tFB:dV
 reading#n. 读数#5ri:diN
 weakness#n. (肌肉)麻木#5wi:knis
 specimen#n. 标本#5spesimin
 take passage on#乘(船等)#
 by a quirk of fate#由于命运的摆布#
 be on horseback#骑在马上#
 Marseilles#n. 马赛(法国港口)#mB:5seilz
 Algiers#n. 阿尔及尔#Al5dViEz
 predator#n. 食肉动物#5predEtE
 missionary#n. 传教士#5miFEnEri
 affluent#adj. 富足的#5AfluEnt
 harpoon#n. (捕鱼的)渔叉#hB:5pu:n
 game#n. (总称)野味；游戏#geim
 grill#vt. 在烤架上炙烤#gril
 cassava#n. 木薯#kE5sB:vE
 reverberate#v. 反响，回响#re5vE:bEreit
 Spaniard#n. 西班牙人#5spAnjEd
 governor#n. 总督#5gQvEnE
 provincial governor#省长#
 baron#n. 男爵#5bArEn
 beach#vt. 使(船)上岸滩#bi:tF
 undergrowth#n. (大树下的)下层林丛#5QndE-grEuW
 falter#vi. (心)惊了一下#5fC:ltE
 jaguar#n. 美洲虎#5dVAgjuE
 flank#n. 侧面；身体的两侧#flANk
 neckerchief#n. 围巾，颈巾#5nekEtFif
 encounter#n. 遭遇#in5kBuntE
 instinctive#adj. 本能的#in5stiNktiv
 capsize#v. (船等)倾覆#kAp5sBiz
 hysterically#adv. 歇斯底里地#his5terikEli
 haul#vt. 用力拖(或拉)#hC:l
 magnanimous#adj. 高尚的#mAg5nAnimEs
 to take to#喜欢，亲近(人)#
 to be alive with#(一地方)充满着(动物)#
 to break into a run#拔脚起奔#
 adult#n. 成年人#5AdQlt
 instructive#adj. 有教育意义的#in5strQktiv
 haphazard#adj. 无计划的；随意的#5hAp5hAzEd
 instruction#n. 教导#in5strQkFEn
 visual aid#n. 直观教具#5viVuEl 5eid
 gifted#adj. 有天赋的#5giftid
 account#vi. 解释#E5kBunt
 organ#n. 器官#5C:gEn
 acquire#vt. 获得(知识等)#E5kwBiE
 flexible#adj. 柔软的#5fleksEbl
 sensitive#adj. 敏锐的#5sensitiv
 detect#vt. 查觉#di5tekt
 slight#adj. 微弱的；小的#slBit
 genuine#adj. 道地的#5dVenjuin
 structure#n. (句子的)结构#5strQktFE
 bubble#vi. (泉)涌出#5bQbl
 assimilation#n. 吸收；消化#Asimi5leiFEn
 advantage#n. 有利条件#Ed5vB:ntidV
 private#adj. 私人的#5prBivit
 private lesson#家庭教师亲授的课#
 facial#adj. 面部的#5feiFEl
 gesture#n. 手势；姿势#5dVestFE
 scorching#adj. 灼热的#5skC:tFiN
 immediately#adv. 直接地#i5mi:djEtli
 awkward#adj. 笨拙的#5C:kwEd
 sympathy#n. 同情#5simpEWi
 merry#adj. 有趣的#5meri
 sprinkle#vt. (在身上)洒水#spriNkl
 plunge#vt. 将…投入#plQndV
 brain#n. 头脑#brein
 elaborate#adj. 十分详细#i5lAbErit
 to lay out#计划，筹划#
 in most cases#在大多数情况下#
 to hold water#(指论点)周密，没漏洞#
 to drink in#吸收#
 as it were#好比是#
 to take pains#努力；尽力#
 self-conscious#adj. 感到很不自然#
 pavement#n. 人行道#5peivmEnt
 tenant#n. 住户；佃户#5tenEnt
 M.P.#英国议会议员#5em5pi:
 rabbit#n. 兔#5rAbit
 paint#v. 油漆#peint
 T.B.#结核病#5ti:5bi:
 reserve#n. 沉默寡言#ri5zE:v
 intolerable#adj. 受不了的#in5tClErEbl
 intention#n. 意愿；企图#in5tenFEn
 luxurious#adj. 奢华的#lQg5zjuEriEs
 awe#n. 敬畏#C:
 manners#n. & pl. 举止；风度#
 sorry#adj. 不体面的；困顿的#5sCri
 grace#n. 态度大方#greis
 sympathetic#adj. 同情的#simpE5Wetik
 remark#n. 言语；评论#ri5mB:k
 disrepair#n. 失修，损破(的状况)#disri5peE
 saviour#n. 救命恩人#5seivjE
 dweller#n. 住户；居民#5dwelE
 damp#adj. 潮湿#dAmp
 cracked#adj. 有裂缝的#krAkt
 jug#n. 罐子#dVQg
 drip#v. 滴；淌#drip
 oblige#v. 被迫#E5blBidV
 landlord#n. 房东#5lAndlC:d
 chap#n. 人；伙计#tFAp
 artificial#adj. 虚伪的；不自然的#B:ti5fiFEl
 short#adj. 短少；缺乏#FC:t
 wretched#adj. 恶劣的#5retFid
 sty#n. 猪圈#stBi
 snatch#vt. 突然抓住#snAtF
 mood#n. 心情；情绪#mu:d
 silence#vt. 命令(某人)住嘴#5sBilEns
 constituent#n. (一个选区中的)选民#kEn5stitjuEnt
 ignore#vt. 不理睬#ig5nC:
 sparrow#n. 麻雀#5spArEu
 graciously#adv. 文雅地#5greiFEsli
 glide#vt. 滑动#glBid
 race#vi. 奔跑#reis
 depart#vt. 离开#di5pB:t
 mum#n. 妈妈#mQm
 shrill#vt. 尖声地叫#Fril
 dad#n. 爸爸#dAd
 wheel#n. 车轮#wi:l
 poster#n. 招贴#5pEustE
 cheek#n. 面颊#tFi:k
 urchin#n. 在街头嬉戏的顽童#5E:tFin
 kneel#vi. 跪下#ni:l
 in case#恐怕；万一#
 to hang about#徘徊，走来走去#
 to look out for#等候#
 to put a person off#使改变主意#
 to put in a word for#为…说句好话#
 well off#境遇好#
 to care for#喜欢；感兴趣#
 in the wake of#尾随着#
 quest#n. 探索#kwest
 malaria#n. 疟疾#mE5leEriE
 recur#vi. (疾病)复发#ri5kE:
 praiseworthy#adj. 值得称赞的#5preizwE:Ti
 cinchona#n. 金鸡纳树#siN5kEunE
 quinine#n. 奎宁#kwi5nin
 laureate#n. 获得荣誉者#5lC:riit
 Nobel laureate#诺贝尔奖金获得者#nEu5bel
 organism#n. 生物体#5C:gEnizEm
 plasmodium#n. 疟原虫#plAz5mEudiEm
 commonplace#adj. 不足道的#5kCmEnpleis
 contract#vt. 得(病)#5kCntrAkt7 kEn5trAkt
 susceptible#adj. 敏感的#sE5septEbl
 hypothesis#n. 假设#hBi5pCWisi:z
